course,Duration,Address,Contact,Link,Fee,Introduction
"B.Eng (Hons.) Automotive Engineering - (Collaboration Program with HKA, Germany)","9, Semester ( 4 1/2 Year ),TS. DR. AMIR BIN ABDUL RAZAK",UMP Pekan Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/dual-degree/02-b-eng-hons-automotive-engineering-collaboration-programme-with-hska-germany,8370 per semester,"This is a dual-degree programme that has been developed together with an international counterpart, Karlsruhe University of Applied Sciences (HsKA), Germany. The curriculum structure encompasses 9-semester programme aims at equipping the students with fundamental of automotive engineering knowledge and practical know-how approaches, in addition to both German and English communication skills. The students will not only be taught by industrial-experieced lecturers and professors from UMP, but also by flying faculties (German professors from HsKA), who fly all the way from Germany to Malaysia every semester to teach advanced automotive engineering courses to the students from semester 5 onwards. The students are required to undergo 6 months internship in industry and 6 months bachelor thesis module to complete the study. Graduates from this programme may receive 2 automotive engineering degrees, namely B.Eng. (Hons.) in Automotive Engineering (collaboration program with HsKA) from UMP which is accredited by Board of Engineer Malaysia (BEM) and Malaysian Qualifications Agency (MQA), and Bachelor of Automotive Engineering from HsKA Germany accredited by state Baden Wuerttemberg, Germany subjected to passing B1 German test. The graduates have a very high employability rate, where most of them were offered to work in German companies as well as other multinational companies all around Malaysia"
"B.Eng (Hons.) Mechatronics Engineering - (Collaboration Program with HKA, Germany)","9, Semester ( 4 1/2 Year ),DR. MUHAMMAD AIZZAT BIN ZAKARIA",UMP Pekan Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/dual-degree/02-bachelor-of-engineering-dual-degree-in-mechatronic-engineering-programme-ump-hska-germany,8370 per semester,"This is a collaboration program between UMP and HsKA University, Germany. Students will be exposed to mechatronic engineering theory as well as hands-on skills to meet the Program Educational Objectives (PEO). The syllabus is tailored in such a way that it suits both Germany and Malaysia accreditation requirement. This programme offers a close collaboration with industries and experts from Germany. At the end of the course, students shall graduate with dual-degree with HsKA Germany certificate and UMP certificate.
"
B.Eng (Hons.) Civil Engineering,8 Semester ( 4 Year ),UMP Gambang Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering/01-b-eng-hons-civil-engineering,2110 per semester,"Bachelor of Civil Engineering Program (BAA) contains strong knowledge of the civil engineering system. It consists of in depth understanding on the impact of professional civil engineering solutions, design solutions for complex civil engineering problem, create complex civil engineering activities and apply principles of civil engineering in practice."
B.Eng (Hons.) Chemical Engineering,"8 Semester ( 4 Year ),PROF. MADYA TS. DR. SURNATI BINTI ABD RAHMAN",UMP Gambang Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering/02-b-eng-hons-chemical-engineering,2110 per semester,"
 The four-year Bachelor of Chemical Engineering (BKC) programme was offered by Universiti Malaysia Pahang since year 2002 is an accredited programme by Engineering Accreditation Council (EAC), Board of Engineers Malaysia under the Washington Accord. The BKC programme aims to educate potential engineers to design, develop, and operate chemical processes by which chemicals, petroleum products, food, polymers, pharmaceuticals and consumer goods can be produced in a safe and sustainable way. Chemical processes involve reactions, heat transfer, separations and biological phenomena. The BKC programme also provides exposure to aspects of humanities and social sciences through subjects such as English language and foreign languages, entrepreneurship, economics, management and other non-engineering subjects."
B.Eng (Hons.) Electrical Engineering (Power System),"8 Semester ( 4 Year ),DR. AHMAD SYAHIMAN BIN MOHD SHAH",UMP Gambang Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering/04-b-eng-hons-electrical-engineering-power-system,2110 per semester,"A bachelor graduate programme contains strong knowledge of the electrical and electronic system. It consists of design, construction, production, maintenance, experimentation, and control over components and equipment of electrical systems. To realize this industrialization objective, electrical and electronic engineers must strive for excellence in invention and innovation, managing and administrating electrical and electronic equipment. "
B.Eng (Hons.) Manufacturing Engineering,"8 Semester ( 4 Year ),IR. TS. DR. NOOR MAZNI BINTI ISMAIL",UMP Pekan Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering/05-b-eng-hons-manufacturing-engineering,2110 per semester,"
 This bachelor's program prepares student for a career in the field of manufacturing engineering. On top of the basic fundamental engineering courses needed to become a marketable engineers, the Faculty also provide a wide range of industry-related subjects such as manufacturing process, manufacturing system, production, engineering, machine design and constructive laboratory courses. Students in the programme are exposed to the state-of-the-art engineering tools and software that is normally used in the industry."
B.Eng (Hons.) Mechatronics Engineering,8 Semester,UMP Pekan Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering/06-b-eng-hons-mechatronics-engineering,2110 per semester,"Graduates achieve advance standing professionally based on their technical expertise & accomplishment related to engineering practice and research, or in other fields they choose to pursue"
B.Eng (Hons.) Mechanical Engineering,"8 Semester ( 4 Year ),DR. MOHD FIRDAUS BIN HASSAN",UMP Pekan Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering/07-b-eng-hons-mechanical-engineering,2110 per semester,"Graduates achieve advance standing professionally based on their technical expertise & accomplishment related to engineering practice and research, or in other fields they choose to pursue
"
B.Eng (Hons.) Mechanical Engineering (Automotive),"8 Semester ( 4 Year ),PROF. MADYA IR. TS. DR. ,MAHENDRAN A/L SAMYKANO",UMP Pekan Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering/08-b-eng-hons-mechanical-engineering-automotive,2110 per semester,"Graduates achieve advance standing professionally based on their technical expertise & accomplishment related to engineering practice and research, or in other fields they choose to pursue"
Bachelor of Chemical Engineering Technology With Hons.,8 Semester ( 4 Year ),UMP Gambang Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering-technology-2/bachelor-of-chemical-engineering-technology-with-hons,2110 per semester," The Bachelor of Chemical Engineering Technology degree program, also known as the BTK program, was initiated and approved by Ministry of Higher Education in 2017. This program requires students to complete 140 credits, usually within four (4) years or eight (8) semesters. The students will complete their subjects within seven (7) semesters and go for their industrial training in their final semester. This program has been developed not only to provide students with the knowledge of chemical engineering technology, but also to give them exposure to aspects of humanities and social sciences through subjects such as English language and foreign languages, entrepreneurship and other non-engineering subjects."
Bachelor of Manufacturing Engineering Technology (Pharmaceutical) With Hons.,8 Semester ( 4 Year ),UMP Gambang Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering-technology-2/bachelor-of-manufacturing-engineering-technology-pharmaceutical-with-hons,2110 per semester," BEngTech Manufacuring (Pharmaceutical) students will be equipped with a thorough understanding of the technical aspects which include understanding product development, manufacturing systems, quality control, compliance with regulations and production plants /equipment safety. Students will also be prepared with professional skills to enhance employability."
Bachelor of Mechanical Engineering Technology (Petroleum ) With Honours,8 Semester ( 4 Year ),UMP Gambang Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering-technology-2/bachelor-of-mechanical-engineering-technology-petroleum-with-honours,2110 per semester," Graduates achieve advance standing professionally based on their technical expertise & accomplishment related to engineering practice and research, or in other fields they choose to pursue"
Bachelor of Civil Engineering Technology (Building) With Honours,8 Semester ( 4 Year ),UMP Gambang Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering-technology-2/bachelor-of-engineering-technology-building-with-hons-2,2110 per semester,"Bachelor of Civil Engineering Technology (Building) with Honours.This Program Aims To Produce Graduates Who Are Competent, Flexible, And Exposed To Technical Knowledge And Skills, Based On The Latest Technology To Meet The Demands Of The Current Construction Industry"
Bachelor of Engineering Technology (Infrastructure Management) With Hons.,8 Semester ( 4 Year ),UMP Gambang Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering-technology-2/bachelor-of-engineering-technology-infrastructure-management-with-hons,2110 per semester,"
Bachelor of Engineering Technology (Infrastructure Management) will equip students with knowledge, skills and initiatives in the areas of Infrastructure Management, with focuses upon the study of management skills, construction technology, problem solving, law, health and safety, finance, engineering sciences and the principles and practice of modern construction project management. Students will also be equipped with professional skills to enhance employability. The duration of this bachelor program is 4 years which requires students to complete 140 total credit hours."
Bachelor of Engineering Technology (Energy & Environmental) With Hons.,8 Semester ( 4 Year ),UMP Gambang Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering-technology-2/bachelor-of-engineering-technology-energy-environmental-with-hons,2110 per semester,"Bachelor of Engineering Technology (Energy and Environmental) introduces students to the diverse areas of energy and environment. This program guided the students to learn on the energy-related technical and management topics including energy management and auditing, building management, energy efficiency in manufacturing, and alternative sources of energy.

The students will also learn about the environmental policies, environmental management system, environmental pollution controls, and environmental impact assessment. This program is designed to produce energy and environmental technologists for government agencies and industry. It emphasizes on engineering and technological advancements to improve the environment, which involves the development of new green technologies, as well as providing reductions in carbon footprint."
Bachelor of Mechanical Engineering Technology (Automotive) with Honours,8 Semester ( 4 Year ),UMP Pekan Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering-technology-2/bachelor-of-mechanical-engineering-technology-automotive-with-honours,2110 per semester,NA
Bachelor of Mechanical Engineering Technology (Oil and Gas) with Honours,8 Semester ( 4 Year ),UMP Pekan Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering-technology-2/bachelor-of-mechanical-engineering-technology-oil-and-gas-with-honours,2110 per semester,NA
Bachelor of Mechanical Engineering Technology (Design and Analysis) with Honours,8 Semester ( 4 Year ),UMP Pekan Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering-technology-2/bachelor-of-mechanical-engineering-technology-design-and-analysis-with-honours,2110 per semester,NA
Bachelor of Mechatronic Engineering Technology (Robotics) with Honours,8 Semester ( 4 Year ),UMP Pekan Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering-technology-2/bachelor-of-mechatronic-engineering-technology-robotics-with-honours,2110 per semester,NA
Bachelor of Manufacturing Engineering Technology (Industrial Automation) with Honours,8 Semester ( 4 Year ),UMP Pekan Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering-technology-2/bachelor-of-mechatronic-engineering-technology-robotics-with-honours,2110 per semester,"The Bachelor of Manufacturing Engineering Technology (Industrial Automation) with Honours is a four-year engineering technology programme. The programme prepares aspiring graduates with a broad foundation in manufacturing engineering sciences, with a focus on industrial automation which is non-trivial with the advent of the 4th industrial revolution.

The students will initially be exposed to fundamental engineering technology subjects such as programming, computer-aided design and manufacturing, mechanics, thermal-fluids, electrical and electronics, amongst others. The students will then progress to specialised industrial automation courses such as sensor and instrumentation systems, industrial IoT, autonomous robotic systems, automated manufacturing systems, machine vision and applied machine learning.

In essence, in the first three years of the programme, the students will learn through a combination of lectures and hands-on laboratory work that will equip them with the necessary tools of the trade for their final year, in which the students will undergo work-based learning at different partnering companies."
Bachelor of Engineering Technology (Manufacturing) With Hons.,8 Semester ( 4 Year ),UMP Gambang Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering-technology-2/bachelor-of-engineering-technology-manufacturing-with-hons,2110 per semester," The program of Bachelor of Engineering Technology (Manufacturing) with Honours (BTM) was established in Universiti Malaysia Pahang (UMP) on 2012 in collaboration with the College of Engineering & Engineering Technology, at Northern Illinois University (NIU). This program was established for the preparation of Technical Engineers. Since that time, the Engineering Technology (Manufacturing) program, BTM has evolved into an industrial-oriented technology program serving many sectors of industry and companies in Malaysia. The objectives of the BTM program is to produce engineering technologists with mastery of the needed expertise in manufacturing industries using the foundation of technology and innovation, to prepare engineering technologiest that demonstrate skills of lifelong learning for professional and personal development, to prepare engineering technologist with good management skill, good professional ethics and understanding local law in manufacturing issues, and to prepare global engineering technologists that work and communicate effectively in multinational and multidisciplinary engineering community. The BTM program has received approval from the Ministry of Higher Education (MOHE) dated 9 March 2012 to begin offering the program for the 1st academic session 2012/2013 which begins in September 2012. The program also received a full accreditation from the Malaysian Qualification Agency (MQA) in 2016."
Bachelor of Electronics Engineering Technology (Computer System ) With Honours,8 Semester ( 4 Year ),UMP Pekan Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering-technology-2/bachelor-of-electronics-engineering-technology-computer-system-with-honours,2110 per semester,"
 Bachelor of Electronics Engineering Technology (Computer System) will equip students with knowledge, skills and initiatives in wide areas including computer, embedded systems, telecommunications, industrial electronics and other technical fields. Students will be prepared to work as engineering technologist, with the skills and knowledge to involve in product development and improvement, system development, control and engineering operational functions. Student will gain an understanding of digital electronics, communication systems, signal processing, control systems, system integration, and computer-based systems and more. Students will also develop the skills in hardware (electronic and/or computer-based component) and software (systems for application) designs and implementation which will be needed to work in cutting-edge, high-technology fields, including electrical and electronics, computer hardware and embedded systems. This program will also equip students with professional skills to enhance employability."
Bachelor of Electrical Engineering Technology (Power & Machine) With Honours,8 Semester ( 4 Year ),UMP Pekan Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering-technology-2/bachelor-of-electrical-engineering-technology-power-machine-with-honours,2110 per semester," Bachelor of Electrical Engineering Technology (Power & Machine) will provide students with fundamental knowledge in specific areas within the field of Engineering Technology (Electrical Power) as well as for educational preparation towards higher level education. The aim of Engineering Technology (Electrical Power) is to develop, in each student, the degree of technical competency that would allow the graduate to be employed as an engineering technologist expert in product development and improvement, electrical installation and engineering system development, control, operational functions, in a wide areas including machine, electrical power drive, system protection, industrial electronics and other technical fields."
Bachelor of Engineering Technology (Electrical) With Hons.,8 Semester ( 4 Year ),UMP Pekan Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/engineering-technology-2/bachelor-of-engineering-technology-electrical-with-hons,2110 per semester,"The Program of Engineering Technology (Electrical) with Honours aims to produce electrical engineering technologists with advance standing of the needed knowledge and expertise to serve industrial needs, to produce engineering technologists with skills of acquiring knowledge in pursuit of lifelong learning for human development, to prepare engineering technologists with excellent soft-skill and professional ethics that suit local and global society and to prepare engineering technologists with good professional ethics and conducts. This program is delivered to undergraduate students in a day-type format. It should be noted that each semester has several of the theoretical and/or Laboratory courses are offered during the day hours face to face mode. Student will gain an understanding of electrical and electronics circuit analyses, analog and digital electronics, electrical machines and power systems, electronics communication systems, control systems, manufacturing based electrical and electronics knowledges and more. Students will also develop the skills in hardwares (electrical, electronic and/or computer-based component) and software (systems for application) designs and implementation which will be needed to work in cutting-edge, high-technology fields, including electrical and electronics and embedded systems. This program will also equip students with professional skills to enhance employability."
Bachelor of Applied Science in Industrial Biotechnology with Honours,"8 Semester ( 4 Year ),DR. MOHD FAZLI BIN FARIDA ASRAS",UMP Gambang Campus,09 424 5000,https://admission.ump.edu.my/undergraduate-study/applied-science/bachelor-of-applied-science-hons-industrial-biotechnology,2125 per semester,"Biotechnology can be defined as the manipulation (as through genetic engineering) of living organisms or their components to produce useful usually commercial products (such as pest resistant crops, new bacterial strains, or novel pharmaceuticals) that help improve our lives and the health of our planet.

FIST’s second program, the Industrial Biotechnology Program, is in its eleventh year now. Its first batch of studentshas graduated in 2013 and most of them got jobs in biotechnology related companies.

The program went through the MQA exercise in November 2013 and satisfactorily concluded the process. On April 2014 the Accreditation Committee Meeting endorsed the program, back dated to July 2013.

This program aims to foster human capital with first class mentality, especially in technology-based sciences to support Malaysia in becoming a high income nation in a culture of creativity and innovation by nurturing proficient graduates with entrepreneurship, commitment and professionalism in research and development for bio-based industry."
